!SIL	SIL
<SPOKEN_NOISE>	SPN
13ㅂㅓㄴᴥ	n1 n3 f7 m4 e3
13ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 f7 m4 e3 f0 m20 e7
13ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 f7 m4 e3 f12 m20
13ㅇㅣㄹᴥ	n1 n3 f11 m20 e7
13ㅊㅏᴥ	n1 n3 f14 m0
14	n1 n4
140	n1 n4 n0
1400	n1 n4 n0 n0
1402ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n0 n2 f7 m4 e3 f12 m20
1403ㄷㅗㅇᴥ	n1 n4 n0 n3 f3 m8 e20
1405ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n0 n5 f7 m4 e3 f0 m20 e7
1405ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n0 n5 f7 m4 e3 f12 m20
1405ㅇㅔᴥㄱㅔᴥ	n1 n4 n0 n5 f11 m5 f0 m5
1408ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n0 n8 f7 m4 e3 f12 m20
1409ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n0 n9 f7 m4 e3 f12 m20
140ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n0 f7 m4 e3 f0 m20 e7
141	n1 n4 n1
1410	n1 n4 n1 n0
1411	n1 n4 n1 n1
1412ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n1 n2 f7 m4 e3 f12 m20
1418	n1 n4 n1 n8
1419ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n1 n9 f7 m4 e3 f12 m20
141ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n1 f7 m4 e3 f0 m20 e7
142	n1 n4 n2
1420	n1 n4 n2 n0
1421	n1 n4 n2 n1
1422	n1 n4 n2 n2
1423	n1 n4 n2 n3
1424	n1 n4 n2 n4
1425	n1 n4 n2 n5
1426	n1 n4 n2 n6
1427ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n2 n7 f7 m4 e3 f12 m20
1428	n1 n4 n2 n8
1429ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n2 n9 f7 m4 e3 f0 m20 e7
142ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n2 f7 m4 e3 f0 m20 e7
143	n1 n4 n3
1431ㄷㅗㅇᴥ	n1 n4 n3 n1 f3 m8 e20
1431ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n3 n1 f7 m4 e3 f12 m20
1432	n1 n4 n3 n2
1436	n1 n4 n3 n6
1439	n1 n4 n3 n9
143ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n3 f7 m4 e3 f0 m20 e7
143ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n3 f7 m4 e3 f12 m20
144	n1 n4 n4
1443	n1 n4 n4 n3
1444	n1 n4 n4 n4
1447	n1 n4 n4 n7
1449	n1 n4 n4 n9
144ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n4 f7 m4 e3 f0 m20 e7
144ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n4 f7 m4 e3 f12 m20
145	n1 n4 n5
1452	n1 n4 n5 n2
1453	n1 n4 n5 n3
1454	n1 n4 n5 n4
145ㄱㅣㄹᴥ	n1 n4 n5 f0 m20 e7
145ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n5 f7 m4 e3 f0 m20 e7
146	n1 n4 n6
1460	n1 n4 n6 n0
1466	n1 n4 n6 n6
1467	n1 n4 n6 n7
146ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 n6 f7 m4 e3 f0 m20 e7
146ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n6 f7 m4 e3 f12 m20
147	n1 n4 n7
1470	n1 n4 n7 n0
1471	n1 n4 n7 n1
1472	n1 n4 n7 n2
1474	n1 n4 n7 n4
1474ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n7 n4 f7 m4 e3 f12 m20
1476ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n7 n6 f7 m4 e3 f12 m20
1479	n1 n4 n7 n9
148	n1 n4 n8
1489	n1 n4 n8 n9
148ㄱㅣㄹᴥ	n1 n4 n8 f0 m20 e7
149	n1 n4 n9
1492	n1 n4 n9 n2
1494	n1 n4 n9 n4
1498	n1 n4 n9 n8
1498ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 n9 n8 f7 m4 e3 f12 m20
1499	n1 n4 n9 n9
149ㄱㅣㄹᴥ	n1 n4 n9 f0 m20 e7
14ㄱㅏᴥㄱㅣㄹᴥ	n1 n4 f0 m0 f0 m20 e7
14ㄱㅣㄹᴥ	n1 n4 f0 m20 e7
14ㄷㅏㄴᴥㅈㅣᴥ	n1 n4 f3 m0 e3 f12 m20
14ㅂㅓㄴᴥ	n1 n4 f7 m4 e3
14ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n4 f7 m4 e3 f0 m20 e7
14ㅂㅓㄴᴥㅈㅣᴥ	n1 n4 f7 m4 e3 f12 m20
14ㅇㅔᴥㄱㅔᴥ	n1 n4 f11 m5 f0 m5
15	n1 n5
150	n1 n5 n0
1501	n1 n5 n0 n1
1503	n1 n5 n0 n3
1507ㅇㅔᴥ	n1 n5 n0 n7 f11 m5
1507ㅎㅗᴥㅇㅔᴥ	n1 n5 n0 n7 f18 m8 f11 m5
1508ㄷㅗㅇᴥ	n1 n5 n0 n8 f3 m8 e20
150ㄱㅣㄹᴥ	n1 n5 n0 f0 m20 e7
150ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n0 f7 m4 e3 f0 m20 e7
150ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n0 f7 m4 e3 f12 m20
151	n1 n5 n1
1511	n1 n5 n1 n1
1513	n1 n5 n1 n3
1514	n1 n5 n1 n4
1515	n1 n5 n1 n5
151ㄱㅣㄹᴥ	n1 n5 n1 f0 m20 e7
151ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n1 f7 m4 e3 f0 m20 e7
151ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n1 f7 m4 e3 f12 m20
152	n1 n5 n2
1520	n1 n5 n2 n0
1524	n1 n5 n2 n4
1526	n1 n5 n2 n6
1528	n1 n5 n2 n8
152ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n2 f7 m4 e3 f0 m20 e7
152ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n2 f7 m4 e3 f12 m20
153	n1 n5 n3
1534	n1 n5 n3 n4
1535	n1 n5 n3 n5
1538	n1 n5 n3 n8
1539	n1 n5 n3 n9
153ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n3 f7 m4 e3 f0 m20 e7
154	n1 n5 n4
1540	n1 n5 n4 n0
1543	n1 n5 n4 n3
1545ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n4 n5 f7 m4 e3 f12 m20
1548	n1 n5 n4 n8
154ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n4 f7 m4 e3 f0 m20 e7
155	n1 n5 n5
1551	n1 n5 n5 n1
1554	n1 n5 n5 n4
1555	n1 n5 n5 n5
1556	n1 n5 n5 n6
1558	n1 n5 n5 n8
155ㄱㅣㄹᴥ	n1 n5 n5 f0 m20 e7
155ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n5 f7 m4 e3 f0 m20 e7
156	n1 n5 n6
1563	n1 n5 n6 n3
1563ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n6 n3 f7 m4 e3 f12 m20
1564	n1 n5 n6 n4
1566	n1 n5 n6 n6
1567	n1 n5 n6 n7
1569	n1 n5 n6 n9
156ㄱㅣㄹᴥ	n1 n5 n6 f0 m20 e7
156ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n6 f7 m4 e3 f12 m20
157	n1 n5 n7
1570	n1 n5 n7 n0
1572	n1 n5 n7 n2
1573	n1 n5 n7 n3
1576	n1 n5 n7 n6
1579	n1 n5 n7 n9
157ㄱㅣㄹᴥ	n1 n5 n7 f0 m20 e7
157ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n7 f7 m4 e3 f0 m20 e7
157ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n7 f7 m4 e3 f12 m20
158	n1 n5 n8
1581	n1 n5 n8 n1
1587ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n8 n7 f7 m4 e3 f12 m20
1588	n1 n5 n8 n8
158ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n8 f7 m4 e3 f12 m20
159	n1 n5 n9
1590ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n9 n0 f7 m4 e3 f12 m20
1593	n1 n5 n9 n3
1594ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 n9 n4 f7 m4 e3 f0 m20 e7
1595ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n9 n5 f7 m4 e3 f12 m20
1596	n1 n5 n9 n6
159ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 n9 f7 m4 e3 f12 m20
15ㄱㅣㄹᴥ	n1 n5 f0 m20 e7
15ㄱㅣㄹᴥㅇㅔᴥ	n1 n5 f0 m20 e7 f11 m5
15ㄷㅏㄴᴥㅈㅣᴥ	n1 n5 f3 m0 e3 f12 m20
15ㄷㅗㅇᴥ	n1 n5 f3 m8 e20
15ㅂㅓㄴᴥ	n1 n5 f7 m4 e3
15ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n5 f7 m4 e3 f0 m20 e7
15ㅂㅓㄴᴥㅈㅣᴥ	n1 n5 f7 m4 e3 f12 m20
15ㅎㅗᴥ	n1 n5 f18 m8
16	n1 n6
160	n1 n6 n0
1600ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n0 n0 f7 m4 e3 f12 m20
1602ㅎㅗᴥ	n1 n6 n0 n2 f18 m8
1605	n1 n6 n0 n5
1605ㄷㅗㅇᴥ	n1 n6 n0 n5 f3 m8 e20
1605ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n0 n5 f7 m4 e3 f12 m20
1607	n1 n6 n0 n7
1608	n1 n6 n0 n8
160ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n0 f7 m4 e3 f0 m20 e7
160ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n0 f7 m4 e3 f12 m20
161	n1 n6 n1
1615ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n1 n5 f7 m4 e3 f0 m20 e7
161ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n1 f7 m4 e3 f0 m20 e7
162	n1 n6 n2
1628	n1 n6 n2 n8
162ㄱㅣㄹᴥ	n1 n6 n2 f0 m20 e7
162ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n2 f7 m4 e3 f12 m20
163	n1 n6 n3
1635	n1 n6 n3 n5
1638	n1 n6 n3 n8
1639	n1 n6 n3 n9
163ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n3 f7 m4 e3 f0 m20 e7
163ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n3 f7 m4 e3 f12 m20
164	n1 n6 n4
1640	n1 n6 n4 n0
1641	n1 n6 n4 n1
1647	n1 n6 n4 n7
1648	n1 n6 n4 n8
1649	n1 n6 n4 n9
164ㄱㅣㄹᴥ	n1 n6 n4 f0 m20 e7
164ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n4 f7 m4 e3 f12 m20
165	n1 n6 n5
1650	n1 n6 n5 n0
1652	n1 n6 n5 n2
1653ㅂㅓㄴᴥ	n1 n6 n5 n3 f7 m4 e3
1655	n1 n6 n5 n5
1659	n1 n6 n5 n9
165ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n5 f7 m4 e3 f0 m20 e7
166	n1 n6 n6
1660	n1 n6 n6 n0
1667	n1 n6 n6 n7
166ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n6 f7 m4 e3 f0 m20 e7
166ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n6 f7 m4 e3 f12 m20
167	n1 n6 n7
1675	n1 n6 n7 n5
167ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n7 f7 m4 e3 f0 m20 e7
168	n1 n6 n8
1685	n1 n6 n8 n5
1686	n1 n6 n8 n6
168ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n8 f7 m4 e3 f0 m20 e7
169	n1 n6 n9
1690	n1 n6 n9 n0
1698ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n9 n8 f7 m4 e3 f12 m20
169ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 n9 f7 m4 e3 f0 m20 e7
169ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 n9 f7 m4 e3 f12 m20
16ㄱㅣㄹᴥ	n1 n6 f0 m20 e7
16ㄷㅏㄴᴥㅈㅣᴥ	n1 n6 f3 m0 e3 f12 m20
16ㄷㅗㅇᴥ	n1 n6 f3 m8 e20
16ㅁㅏᴥㄱㅣㄹᴥ	n1 n6 f6 m0 f0 m20 e7
16ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n6 f7 m4 e3 f0 m20 e7
16ㅂㅓㄴᴥㅈㅣᴥ	n1 n6 f7 m4 e3 f12 m20
16ㅊㅏᴥ	n1 n6 f14 m0
16ㅎㅗᴥ	n1 n6 f18 m8
17	n1 n7
170	n1 n7 n0
1701	n1 n7 n0 n1
1709	n1 n7 n0 n9
170ㄱㅣㄹᴥ8	n1 n7 n0 f0 m20 e7 n8
170ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n0 f7 m4 e3 f12 m20
170ㅂㅓㄴᴥㅈㅣᴥㄹㅗᴥ	n1 n7 n0 f7 m4 e3 f12 m20 f5 m8
171	n1 n7 n1
1711	n1 n7 n1 n1
171ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n1 f7 m4 e3 f0 m20 e7
171ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n1 f7 m4 e3 f12 m20
172	n1 n7 n2
1722	n1 n7 n2 n2
17238	n1 n7 n2 n3 n8
1725	n1 n7 n2 n5
1728	n1 n7 n2 n8
172ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n2 f7 m4 e3 f12 m20
173	n1 n7 n3
1733	n1 n7 n3 n3
1739	n1 n7 n3 n9
173ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n3 f7 m4 e3 f12 m20
174	n1 n7 n4
1744	n1 n7 n4 n4
1746ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n4 n6 f7 m4 e3 f0 m20 e7
174ㄱㅣㄹᴥ	n1 n7 n4 f0 m20 e7
174ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n4 f7 m4 e3 f0 m20 e7
174ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n4 f7 m4 e3 f12 m20
175	n1 n7 n5
1753	n1 n7 n5 n3
1756	n1 n7 n5 n6
1758ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n5 n8 f7 m4 e3 f12 m20
176	n1 n7 n6
176ㄱㅣㄹᴥ	n1 n7 n6 f0 m20 e7
176ㅂㅓㄴᴥ	n1 n7 n6 f7 m4 e3
176ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n6 f7 m4 e3 f0 m20 e7
177	n1 n7 n7
1772ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n7 n2 f7 m4 e3 f12 m20
1774	n1 n7 n7 n4
1779ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n7 n9 f7 m4 e3 f12 m20
177ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n7 f7 m4 e3 f0 m20 e7
178	n1 n7 n8
1780ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n8 n0 f7 m4 e3 f12 m20
1788	n1 n7 n8 n8
178ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 n8 f7 m4 e3 f0 m20 e7
178ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n8 f7 m4 e3 f12 m20
179	n1 n7 n9
1790	n1 n7 n9 n0
179ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 n9 f7 m4 e3 f12 m20
17ㄱㅣㄹᴥ	n1 n7 f0 m20 e7
17ㄱㅣㄹᴥㅇㅔᴥ	n1 n7 f0 m20 e7 f11 m5
17ㄷㅏㄴᴥㅈㅣᴥ	n1 n7 f3 m0 e3 f12 m20
17ㅂㅓㄴᴥ	n1 n7 f7 m4 e3
17ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n7 f7 m4 e3 f0 m20 e7
17ㅂㅓㄴᴥㅈㅣᴥ	n1 n7 f7 m4 e3 f12 m20
17ㅇㅔᴥㄱㅔᴥ	n1 n7 f11 m5 f0 m5
17ㅊㅏᴥ	n1 n7 f14 m0
18	n1 n8
180	n1 n8 n0
1802	n1 n8 n0 n2
1805ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n0 n5 f7 m4 e3 f12 m20
1808	n1 n8 n0 n8
1809	n1 n8 n0 n9
180ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n8 n0 f7 m4 e3 f0 m20 e7
180ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n0 f7 m4 e3 f12 m20
181	n1 n8 n1
1813ㅇㅔᴥㄱㅔᴥ	n1 n8 n1 n3 f11 m5 f0 m5
181ㄱㅣㄹᴥ	n1 n8 n1 f0 m20 e7
182	n1 n8 n2
1825	n1 n8 n2 n5
182ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n2 f7 m4 e3 f12 m20
183	n1 n8 n3
183ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n8 n3 f7 m4 e3 f0 m20 e7
183ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n3 f7 m4 e3 f12 m20
184	n1 n8 n4
1844	n1 n8 n4 n4
1848	n1 n8 n4 n8
185	n1 n8 n5
1850	n1 n8 n5 n0
1857	n1 n8 n5 n7
186	n1 n8 n6
1865	n1 n8 n6 n5
186ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n8 n6 f7 m4 e3 f0 m20 e7
186ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n6 f7 m4 e3 f12 m20
187	n1 n8 n7
1875	n1 n8 n7 n5
1879ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n7 n9 f7 m4 e3 f12 m20
187ㅂㅓㄴᴥㄱㅣㄹᴥㅇㅔᴥ	n1 n8 n7 f7 m4 e3 f0 m20 e7 f11 m5
187ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n7 f7 m4 e3 f12 m20
188	n1 n8 n8
1886	n1 n8 n8 n6
189	n1 n8 n9
1891	n1 n8 n9 n1
1898ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 n9 n8 f7 m4 e3 f12 m20
18ㄱㅣㄹᴥ	n1 n8 f0 m20 e7
18ㄷㅏㄴᴥㅈㅣᴥ	n1 n8 f3 m0 e3 f12 m20
18ㅂㅓㄴᴥ	n1 n8 f7 m4 e3
18ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n8 f7 m4 e3 f0 m20 e7
18ㅂㅓㄴᴥㅈㅣᴥ	n1 n8 f7 m4 e3 f12 m20
18ㅇㅔᴥㄱㅔᴥ	n1 n8 f11 m5 f0 m5
19	n1 n9
190	n1 n9 n0
190ㅂㅓㄴᴥ	n1 n9 n0 f7 m4 e3
190ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n0 f7 m4 e3 f0 m20 e7
190ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n0 f7 m4 e3 f12 m20
191	n1 n9 n1
1913ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n1 n3 f7 m4 e3 f12 m20
1918	n1 n9 n1 n8
192	n1 n9 n2
1923	n1 n9 n2 n3
1929	n1 n9 n2 n9
193	n1 n9 n3
1930	n1 n9 n3 n0
193ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n3 f7 m4 e3 f0 m20 e7
193ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n3 f7 m4 e3 f12 m20
194	n1 n9 n4
1943	n1 n9 n4 n3
1947	n1 n9 n4 n7
194ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n4 f7 m4 e3 f0 m20 e7
194ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n4 f7 m4 e3 f12 m20
195	n1 n9 n5
19520	n1 n9 n5 n2 n0
1958	n1 n9 n5 n8
195ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n5 f7 m4 e3 f12 m20
196	n1 n9 n6
1960	n1 n9 n6 n0
1965	n1 n9 n6 n5
1969	n1 n9 n6 n9
196ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n6 f7 m4 e3 f0 m20 e7
196ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n6 f7 m4 e3 f12 m20
197	n1 n9 n7
1972	n1 n9 n7 n2
1972ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n7 n2 f7 m4 e3 f12 m20
1973	n1 n9 n7 n3
197ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n7 f7 m4 e3 f0 m20 e7
198	n1 n9 n8
1981	n1 n9 n8 n1
1987ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 n8 n7 f7 m4 e3 f12 m20
198ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n8 f7 m4 e3 f0 m20 e7
199	n1 n9 n9
1992	n1 n9 n9 n2
1997	n1 n9 n9 n7
199ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n9 n9 f7 m4 e3 f0 m20 e7
19ㄱㅜㄱᴥㄱㅕㅇᴥㅇㅔᴥㄱㅔᴥ	n1 n9 f0 m13 e0 f0 m6 e20 f11 m5 f0 m5
19ㄱㅣㄹᴥ	n1 n9 f0 m20 e7
19ㄷㅏㄴᴥㅈㅣᴥ	n1 n9 f3 m0 e3 f12 m20
19ㅂㅓㄴᴥㅈㅣᴥ	n1 n9 f7 m4 e3 f12 m20
19ㅇㅔᴥㄱㅔᴥ	n1 n9 f11 m5 f0 m5
19ㅊㅏᴥ	n1 n9 f14 m0
19ㅊㅡㅇᴥ	n1 n9 f14 m18 e20
19ㅎㅏㄴᴥㅌㅔᴥ	n1 n9 f18 m0 e3 f16 m5
1q	n1 q
1st	n1 s t
1ㄱㅏᴥ	n1 f0 m0
1ㄱㅗㅇᴥㄷㅏㄴᴥ	n1 f0 m8 e20 f3 m0 e3
1ㄱㅗㅇᴥㄷㅏㄴᴥㄹㅗᴥ	n1 f0 m8 e20 f3 m0 e3 f5 m8
1ㄱㅗㅇᴥㅇㅕㅇᴥㅈㅜᴥㅊㅏᴥㅈㅏㅇᴥ	n1 f0 m8 e20 f11 m6 e20 f12 m13 f14 m0 f12 m0 e20
1ㄱㅗㅇᴥㅈㅏㅇᴥ	n1 f0 m8 e20 f12 m0 e20
1ㄱㅡㅂᴥ	n1 f0 m18 e16
1ㄱㅣㄹᴥ	n1 f0 m20 e7
1ㄴㅏᴥㄱㅣㄹᴥ	n1 f2 m0 f0 m20 e7
1ㄷㅏᴥㄱㅣㄹᴥ	n1 f3 m0 f0 m20 e7
1ㄷㅏㄴᴥㄱㅖᴥ	n1 f3 m0 e3 f0 m7
1ㄷㅏㄴᴥㅈㅣᴥ	n1 f3 m0 e3 f12 m20
1ㄷㅡㅇᴥ	n1 f3 m18 e20
1ㄹㅣᴥㅌㅓᴥ	n1 f5 m20 f16 m4
1ㅁㅏᴥㄱㅣㄹᴥ	n1 f6 m0 f0 m20 e7
1ㅂㅏㄱᴥ	n1 f7 m0 e0
1ㅂㅏㄱᴥ2ㅇㅣㄹᴥ	n1 f7 m0 e0 n2 f11 m20 e7
1ㅂㅓㄴᴥ	n1 f7 m4 e3
1ㅂㅓㄴᴥㄱㅏᴥ	n1 f7 m4 e3 f0 m0
1ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 f7 m4 e3 f0 m20 e7
1ㅂㅓㄴᴥㅇㅔᴥㄱㅔᴥ	n1 f7 m4 e3 f11 m5 f0 m5
1ㅂㅓㄴᴥㅈㅣᴥ	n1 f7 m4 e3 f12 m20
1ㅂㅣㄹᴥㄷㅣㅇᴥ	n1 f7 m20 e7 f3 m20 e20
1ㅅㅜㄴᴥㅎㅘㄴᴥㄹㅗᴥ	n1 f9 m13 e3 f18 m9 e3 f5 m8
1ㅇㅔᴥㄱㅔᴥ	n1 f11 m5 f0 m5
1ㅇㅠㄱᴥㄱㅛᴥ	n1 f11 m17 e0 f0 m12
1ㅇㅣㄴᴥㅅㅣㄱᴥㄷㅏㅇᴥ	n1 f11 m20 e3 f9 m20 e0 f3 m0 e20
1ㅇㅣㄴᴥㅈㅏᴥ	n1 f11 m20 e3 f12 m0
1ㅈㅜᴥㅊㅏᴥㅈㅏㅇᴥ	n1 f12 m13 f14 m0 f12 m0 e20
1ㅈㅣᴥㅈㅓㅁᴥ	n1 f12 m20 f12 m4 e15
1ㅊㅏᴥ	n1 f14 m0
1ㅊㅡㅇᴥ	n1 f14 m18 e20
1ㅋㅗᴥㅅㅡᴥ	n1 f15 m8 f9 m18
1ㅌㅓᴥㅁㅣᴥㄴㅓㄹᴥ	n1 f16 m4 f6 m20 f2 m4 e7
1ㅎㅗᴥ	n1 f18 m8
1ㅎㅗᴥㅅㅓㄴᴥ	n1 f18 m8 f9 m4 e3
1ㅎㅗᴥㅇㅔᴥㄱㅔᴥ	n1 f18 m8 f11 m5 f0 m5
1ㅎㅗᴥㅈㅓㅁᴥ	n1 f18 m8 f12 m4 e15
2	n2
20	n2 n0
200	n2 n0 n0
2000	n2 n0 n0 n0
2001ㄷㅗㅇᴥ	n2 n0 n0 n1 f3 m8 e20
2001ㅇㅏᴥㅇㅜㄹᴥㄹㅔㅅᴥ	n2 n0 n0 n1 f11 m0 f11 m13 e7 f5 m5 e18
2003ㄷㅗㅇᴥ	n2 n0 n0 n3 f3 m8 e20
2004	n2 n0 n0 n4
2004ㄷㅗㅇᴥ	n2 n0 n0 n4 f3 m8 e20
200g	n2 n0 n0 g
200ㅂㅓㄴᴥㄱㅣㄹᴥ	n2 n0 n0 f7 m4 e3 f0 m20 e7
200ㅂㅓㄴᴥㅈㅣᴥ	n2 n0 n0 f7 m4 e3 f12 m20
201	n2 n0 n1
2019	n2 n0 n1 n9
201ㄷㅗㅇᴥ	n2 n0 n1 f3 m8 e20
201ㅂㅓㄴᴥㄱㅣㄹᴥ	n2 n0 n1 f7 m4 e3 f0 m20 e7
202	n2 n0 n2
2022ㅂㅓㄴᴥㄱㅣㄹᴥ	n2 n0 n2 n2 f7 m4 e3 f0 m20 e7
2026	n2 n0 n2 n6
2027	n2 n0 n2 n7
202ㄷㅗㅇᴥ	n2 n0 n2 f3 m8 e20
202ㅂㅓㄴᴥㅈㅣᴥ	n2 n0 n2 f7 m4 e3 f12 m20
202ㅎㅗᴥ	n2 n0 n2 f18 m8
203	n2 n0 n3
2036	n2 n0 n3 n6
203ㄷㅗㅇᴥ	n2 n0 n3 f3 m8 e20
203ㅂㅓㄴᴥㅈㅣᴥ	n2 n0 n3 f7 m4 e3 f12 m20
204	n2 n0 n4
2045	n2 n0 n4 n5
204ㄷㅗㅇᴥ	n2 n0 n4 f3 m8 e20
204ㅂㅓㄴᴥㄱㅣㄹᴥ	n2 n0 n4 f7 m4 e3 f0 m20 e7
204ㅂㅓㄴᴥㅈㅣᴥ	n2 n0 n4 f7 m4 e3 f12 m20
205	n2 n0 n5
2054	n2 n0 n5 n4
2058	n2 n0 n5 n8
